l_f,l_f_mm,p_f,p_f_mm,t_f,t_f_mm,DP_t,DP_t_kPa,D_s,D_s_mm,N_tt,U_o_calc,eta_f,valid
0.005,5,0.002,2,0.0003,0.3,232.33882997003,0.23233882997003,0.197192849311732,197.192849311732,14.4837691147663,5.62550817637973,0.998019068092638,1
0.005,5,0.002,2,0.0005,0.5,235.28169351315,0.23528169351315,0.19661216297849,196.61216297849,14.3816895221913,5.28465216381226,0.9989025487809,1
0.005,5,0.002,2,0.0007,0.7,238.298369047234,0.238298369047234,0.196026592824941,196.026592824941,14.2791169581884,5.02172574316465,0.999264828149253,1
0.005,5,0.002,2,0.001,1,242.963897313177,0.242963897313177,0.195139611873852,195.139611873852,14.124446323583,4.67258633523107,0.999529342789805,1
0.005,5,0.0025,2.5,0.0003,0.3,165.939930194884,0.165939930194884,0.213548797902046,213.548797902046,17.5072848926591,5.76927250314769,0.997981112204537,1
0.005,5,0.0025,2.5,0.0005,0.5,167.962661609294,0.167962661609294,0.21293133167895,212.93133167895,17.3879398616825,5.44306545612345,0.998874865288023,1
0.005,5,0.0025,2.5,0.0007,0.7,170.035618483859,0.170035618483859,0.212308454470398,212.308454470398,17.2679625390027,5.20214997873703,0.999240607414565,1
0.005,5,0.0025,2.5,0.001,1,173.240618964253,0.173240618964253,0.211364548232078,211.364548232078,17.0869409027242,4.90236324847311,0.999506027735018,1
0.005,5,0.003,3,0.0003,0.3,127.320025236004,0.127320025236004,0.227620010027402,227.620010027402,20.337632545976,5.88615784230088,0.99794960983621,1
0.005,5,0.003,3,0.0005,0.5,128.816715047677,0.128816715047677,0.22697565483545,226.97565483545,20.2033928769696,5.56786540664672,0.998853153832162,1
0.005,5,0.003,3,0.0007,0.7,130.350234159174,0.130350234159174,0.226325440062609,226.325440062609,20.0683830489213,5.33915533782986,0.999222580645342,1
0.005,5,0.003,3,0.001,1,132.720556821188,0.132720556821188,0.225339700291945,225.339700291945,19.8645684254448,5.06527382496298,0.999490017482399,1
0.005,5,0.0035,3.5,0.0003,0.3,102.565897082891,0.102565897082891,0.239953414306549,239.953414306549,22.9927508873817,5.98622666649971,0.997921892637366,1
0.005,5,0.0035,3.5,0.0005,0.5,103.730637679635,0.103730637679635,0.239289394636783,239.289394636783,22.8456538574832,5.67244062338869,0.998834806769526,1
0.005,5,0.0035,3.5,0.0007,0.7,104.923804391482,0.104923804391482,0.238619130536492,238.619130536492,22.6976522495813,5.45119877069747,0.999207905180622,1
0.005,5,0.0035,3.5,0.001,1,106.767594236065,0.106767594236065,0.237602602150023,237.602602150023,22.4741095625241,5.19295780120649,0.999477675756949,1
0.005,5,0.004,4,0.0003,0.3,85.5798366642911,0.0855798366642911,0.250911542941342,250.911542941342,25.4884242083604,6.0748300559107,0.997896641259807,1
0.005,5,0.004,4,0.0005,0.5,86.5200433029284,0.0865200433029284,0.250233308743987,250.233308743987,25.3302267526248,5.76361279517005,0.998818578459786,1
0.005,5,0.004,4,0.0007,0.7,87.4830232221359,0.0874830232221359,0.249548498505463,249.548498505463,25.1709950939922,5.54720452667339,0.999195278600957,1
0.005,5,0.004,4,0.001,1,88.970769782275,0.088970769782275,0.248509531041898,248.509531041898,24.9303736871465,5.29920166687781,0.999467473336304,1
0.006,6,0.002,2,0.0003,0.3,328.170360285604,0.328170360285604,0.191970209467009,191.970209467009,11.9343618502628,5.29333938582815,0.997326243754347,1
0.006,6,0.002,2,0.0005,0.5,332.273548560202,0.332273548560202,0.191417781795342,191.417781795342,11.8517169151461,4.97248296898618,0.998518234792571,1
0.006,6,0.002,2,0.0007,0.7,336.466644747103,0.336466644747103,0.190862291000401,190.862291000401,11.7689032711855,4.72455641475375,0.999007279956743,1
0.006,6,0.002,2,0.001,1,342.927312099999,0.342927312099999,0.190023695223014,190.023695223014,11.644433800375,4.39510558843686,0.999364446706163,1
0.006,6,0.0025,2.5,0.0003,0.3,231.593051496794,0.231593051496794,0.208317621882895,208.317621882895,14.5099622592839,5.42486399496822,0.997279355178003,1
