L_tube,D_int,D_ext,N_p,DP_t,DP_t_kPa,D_s,D_s_mm,N_tt,U_o_calc,valid
1,0.008,0.012,2,403.544028477922,0.403544028477922,0.316867541420894,316.867541420894,52.4539170369108,6.58168533782335,1
1,0.008,0.012,4,2787.07735904135,2.78707735904135,0.316867541420894,316.867541420894,52.4539170369108,7.56810117294834,1
1,0.008,0.012,6,8716.29306779891,8.71629306779891,0.316867541420894,316.867541420894,52.4539170369108,8.01723890937509,0
1,0.008,0.012,8,19658.0612481696,19.6580612481696,0.316867541420894,316.867541420894,52.4539170369108,8.28091703814436,0
1,0.008,0.014,2,481.290351789604,0.481290351789604,0.324579009615628,324.579009615628,47.4971278609018,6.37645559900521,1
1,0.008,0.014,4,3334.11579587839,3.33411579587839,0.324579009615628,324.579009615628,47.4971278609018,7.31921768826075,1
1,0.008,0.014,6,10445.364247281,10.445364247281,0.324579009615628,324.579009615628,47.4971278609018,7.74738103526537,0
1,0.008,0.014,8,23586.3196724159,23.5863196724159,0.324579009615628,324.579009615628,47.4971278609018,7.99842653487347,0
1,0.008,0.016,2,565.16127568183,0.56516127568183,0.332411434273775,332.411434273775,43.3962681989552,6.19801665556004,1
1,0.008,0.016,4,3925.92486494666,3.92592486494666,0.332411434273775,332.411434273775,43.3962681989552,7.10360934464653,1
1,0.008,0.016,6,12318.9271599084,12.3189271599084,0.332411434273775,332.411434273775,43.3962681989552,7.51398570322031,0
1,0.008,0.016,8,27847.4731918867,27.8474731918867,0.332411434273775,332.411434273775,43.3962681989552,7.75433958319981,0
1,0.008,0.018,2,655.078817071569,0.655078817071569,0.340304578333085,340.304578333085,39.9472576022278,6.03957818261124,1
1,0.008,0.018,4,4562.03827443385,4.56203827443385,0.340304578333085,340.304578333085,39.9472576022278,6.91263938876328,1
1,0.008,0.018,6,14335.6544930172,14.3356544930172,0.340304578333085,340.304578333085,39.9472576022278,7.30749509279836,0
1,0.008,0.018,8,32438.7336627207,32.4387336627207,0.340304578333085,340.304578333085,39.9472576022278,7.53853364234913,0
1,0.008,0.02,2,750.97403475212,0.75097403475212,0.34821806969138,348.21806969138,37.0061177836089,5.896677382473,1
1,0.008,0.02,4,5242.04379749582,5.24204379749582,0.34821806969138,348.21806969138,37.0061177836089,6.74068923012092,1
1,0.008,0.02,6,16494.372831385,16.494372831385,0.34821806969138,348.21806969138,37.0061177836089,7.1217179814931,0
1,0.008,0.02,8,37357.6362169651,37.3576362169651,0.34821806969138,348.21806969138,37.0061177836089,7.34446752091514,0
1,0.01,0.014,2,175.314038230518,0.175314038230518,0.324579009615628,324.579009615628,47.4971278609018,6.0582010312207,1
1,0.01,0.014,4,1216.74210723275,1.21674210723275,0.324579009615628,324.579009615628,47.4971278609018,7.09636441320061,1
1,0.01,0.014,6,3815.98564909846,3.81598564909846,0.324579009615628,324.579009615628,47.4971278609018,7.58203238151983,1
1,0.01,0.014,8,8623.14309060994,8.62314309060994,0.324579009615628,324.579009615628,47.4971278609018,7.87106033705174,0
1,0.01,0.016,2,205.914641350849,0.205914641350849,0.332411434273775,332.411434273775,43.3962681989552,5.89448655065018,1
1,0.01,0.016,4,1433.05980070096,1.43305980070096,0.332411434273775,332.411434273775,43.3962681989552,6.89361712571412,1
1,0.01,0.016,6,4501.50792082151,4.50150792082151,0.332411434273775,332.411434273775,43.3962681989552,7.35993498250781,1
1,0.01,0.016,8,10183.3487699148,10.1833487699148,0.332411434273775,332.411434273775,43.3962681989552,7.63711854811196,0
1,0.01,0.018,2,238.728948167303,0.238728948167303,0.340304578333085,340.304578333085,39.9472576022278,5.74908037166959,1
1,0.01,0.018,4,1665.62293491168,1.66562293491168,0.340304578333085,340.304578333085,39.9472576022278,6.71402794127239,1
1,0.01,0.018,6,5239.56876571719,5.23956876571719,0.340304578333085,340.304578333085,39.9472576022278,7.16345550495716,1
1,0.01,0.018,8,11864.7630088912,11.8647630088912,0.340304578333085,340.304578333085,39.9472576022278,7.4303176663776,0
1,0.01,0.02,2,273.732148436696,0.273732148436696,0.34821806969138,348.21806969138,37.0061177836089,5.61791614589797,1
1,0.01,0.02,4,1914.28315957138,1.91428315957138,0.34821806969138,348.21806969138,37.0061177836089,6.5523215346653,1
1,0.01,0.02,6,6029.74590053259,6.02974590053259,0.34821806969138,348.21806969138,37.0061177836089,6.98669540458421,1
1,0.01,0.02,8,13666.4987622399,13.6664987622399,0.34821806969138,348.21806969138,37.0061177836089,7.24437035027544,0
1,0.012,0.016,2,90.6594261548141,0.0906594261548141,0.332411434273775,332.411434273775,43.3962681989552,5.61928858678002,1
1,0.012,0.016,4,632.317663813242,0.632317663813242,0.332411434273775,332.411434273775,43.3962681989552,6.68856033340258,1
1,0.012,0.016,6,1988.6990254545,1.9886990254545,0.332411434273775,332.411434273775,43.3962681989552,7.20073155980432,1
1,0.012,0.016,8,4502.71004689088,4.50271004689088,0.332411434273775,332.411434273775,43.3962681989552,7.50925075654719,1
1,0.012,0.018,2,105.134249364123,0.105134249364123,0.340304578333085,340.304578333085,39.9472576022278,5.48444708298202,1
1,0.012,0.018,4,735.121561239862,0.735121561239862,0.340304578333085,340.304578333085,39.9472576022278,6.51851399509943,1
1,0.012,0.018,6,2315.34027952411,2.31534027952411,0.340304578333085,340.304578333085,39.9472576022278,7.01275191982849,1
1,0.012,0.018,8,5247.44082644965,5.24744082644965,0.340304578333085,340.304578333085,39.9472576022278,7.31013476066969,1
1,0.012,0.02,2,120.578444744707,0.120578444744707,0.34821806969138,348.21806969138,37.0061177836089,5.36279191584576,1
1,0.012,0.02,4,845.066932793721,0.845066932793721,0.34821806969138,348.21806969138,37.0061177836089,6.36538718011015,1
1,0.012,0.02,6,2665.12457433665,2.66512457433665,0.34821806969138,348.21806969138,37.0061177836089,6.84363540600427,1
1,0.012,0.02,8,6045.63501957926,6.04563501957926,0.34821806969138,348.21806969138,37.0061177836089,7.13110259677498,1
1,0.015,0.018,2,38.7579151276905,0.0387579151276905,0.340304578333085,340.304578333085,39.9472576022278,5.13405855888092,1
1,0.015,0.018,4,271.933648344158,0.271933648344158,0.340304578333085,340.304578333085,39.9472576022278,6.24219534730783,1
1,0.015,0.018,6,858.146515250224,0.858146515250224,0.340304578333085,340.304578333085,39.9472576022278,6.79001154347109,1
1,0.015,0.018,8,1947.47673654344,1.94747673654344,0.340304578333085,340.304578333085,39.9472576022278,7.12553107634829,1
1,0.015,0.02,2,44.468394109116,0.044468394109116,0.34821806969138,348.21806969138,37.0061177836089,5.02384243394953,1
1,0.015,0.02,4,312.720227067085,0.312720227067085,0.34821806969138,348.21806969138,37.0061177836089,6.09978300392586,1
1,0.015,0.02,6,988.142590144775,0.988142590144775,0.34821806969138,348.21806969138,37.0061177836089,6.6305894818608,1
1,0.015,0.02,8,2244.48674568893,2.24448674568893,0.34821806969138,348.21806969138,37.0061177836089,6.95533482178383,1
1,0.018,0.02,2,19.7785136340782,0.0197785136340782,0.34821806969138,348.21806969138,37.0061177836089,4.73050600634333,1
1,0.018,0.02,4,139.560434956104,0.139560434956104,0.34821806969138,348.21806969138,37.0061177836089,5.85583437738571,1
1,0.018,0.02,6,441.822800946379,0.441822800946379,0.34821806969138,348.21806969138,37.0061177836089,6.42736056393652,1
1,0.018,0.02,8,1004.86204514145,1.00486204514145,0.34821806969138,348.21806969138,37.0061177836089,6.78253564779747,1
1.5,0.008,0.012,2,1140.93195291749,1.14093195291749,0.26325379862822,263.25379862822,34.9692780246072,6.4691041151108,1
1.5,0.008,0.012,4,7871.35438767461,7.87135438767461,0.26325379862822,263.25379862822,34.9692780246072,7.12943605195134,0
1.5,0.008,0.012,6,24601.4520105127,24.6014520105127,0.26325379862822,263.25379862822,34.9692780246072,7.41224945568834,0
1.5,0.008,0.012,8,55460.107148022,55.460107148022,0.26325379862822,263.25379862822,34.9692780246072,7.57344056718906,0
1.5,0.008,0.014,2,1360.5332322746,1.3605332322746,0.269917192881297,269.917192881297,31.6647519072679,6.25599183895088,1
1.5,0.008,0.014,4,9414.86816621101,9.41486816621101,0.269917192881297,269.917192881297,31.6647519072679,6.88504612609694,0
1.5,0.008,0.014,6,29477.2447805724,29.4772447805724,0.269917192881297,269.917192881297,31.6647519072679,7.15393236936647,0
1.5,0.008,0.014,8,66532.8331864447,66.5328331864447,0.269917192881297,269.917192881297,31.6647519072679,7.30704339780627,0
1.5,0.008,0.016,2,1597.39916947027,1.59739916947027,0.276679347673193,276.679347673193,28.9308454659701,6.07131788237053,1
1.5,0.008,0.016,4,11084.469289675,11.084469289675,0.276679347673193,276.679347673193,28.9308454659701,6.67386113862481,0
1.5,0.008,0.016,6,34759.7692079332,34.7597692079332,0.276679347673193,276.679347673193,28.9308454659701,6.93097862741476,0
1.5,0.008,0.016,8,78542.3263300637,78.5423263300637,0.276679347673193,276.679347673193,28.9308454659701,7.07727156808325,0
1.5,0.008,0.018,2,1851.30778348116,1.85130778348116,0.283491079648534,283.491079648534,26.6315050681518,5.9077417522792,1
1.5,0.008,0.018,4,12878.8304454026,12.8788304454026,0.283491079648534,283.491079648534,26.6315050681518,6.48716749839097,0
1.5,0.008,0.018,6,40445.2470600348,40.4452470600348,0.283491079648534,283.491079648534,26.6315050681518,6.73404652652338,0
1.5,0.008,0.018,8,91480.6500495255,91.4806500495255,0.283491079648534,283.491079648534,26.6315050681518,6.87441444391713,0
1.5,0.008,0.02,2,2122.06283123733,2.12206283123733,0.290319425123927,290.319425123927,24.6707451890726,5.76047678126341,1
1.5,0.008,0.02,4,14796.7782181713,14.7967782181713,0.290319425123927,290.319425123927,24.6707451890726,6.31932374959187,0
1.5,0.008,0.02,6,46530.3381776814,46.5303381776814,0.290319425123927,290.319425123927,24.6707451890726,6.55710545491039,0
1.5,0.008,0.02,8,105340.788029376,105.340788029376,0.290319425123927,290.319425123927,24.6707451890726,6.69221333077419,0
1.5,0.01,0.014,2,490.336813985448,0.490336813985448,0.269917192881297,269.917192881297,31.6647519072679,6.04171419029884,1
1.5,0.01,0.014,4,3393.8944542922,3.3938944542922,0.269917192881297,269.917192881297,31.6647519072679,6.75414678481092,1
1.5,0.01,0.014,6,10627.4234434575,10.6274234434575,0.269917192881297,269.917192881297,31.6647519072679,7.06557871943766,0
1.5,0.01,0.014,8,23989.2501592632,23.9892501592632,0.269917192881297,269.917192881297,31.6647519072679,7.24481376581013,0
1.5,0.01,0.016,2,575.720431250964,0.575720431250964,0.276679347673193,276.679347673193,28.9308454659701,5.86851684411517,1
1.5,0.01,0.016,4,3995.8739771739,3.9958739771739,0.276679347673193,276.679347673193,28.9308454659701,6.55205364611371,1
1.5,0.01,0.016,6,12532.2916743857,12.5322916743857,0.276679347673193,276.679347673193,28.9308454659701,6.85029985298401,0
1.5,0.01,0.016,8,28320.2205365272,28.3202205365272,0.276679347673193,276.679347673193,28.9308454659701,7.02179372630942,0
1.5,0.01,0.018,2,667.250047283683,0.667250047283683,0.283491079648534,283.491079648534,26.6315050681518,5.71507259128825,1
1.5,0.01,0.018,4,4642.85363581423,4.64285363581423,0.283491079648534,283.491079648534,26.6315050681518,6.37340029624411,1
1.5,0.01,0.018,6,14582.5174142243,14.5825174142243,0.283491079648534,283.491079648534,26.6315050681518,6.66017291772184,0
1.5,0.01,0.018,8,32986.2707439129,32.9862707439129,0.283491079648534,283.491079648534,26.6315050681518,6.82493919689757,0
1.5,0.01,0.02,2,764.855039033605,0.764855039033605,0.290319425123927,290.319425123927,24.6707451890726,5.57691005619237,1
1.5,0.01,0.02,4,5334.41114696027,5.33441114696027,0.290319425123927,290.319425123927,24.6707451890726,6.21278520608727,1
1.5,0.01,0.02,6,16776.8986219026,16.7768986219026,0.290319425123927,290.319425123927,24.6707451890726,6.48935952309622,0
1.5,0.01,0.02,8,37984.8757822067,37.9848757822067,0.290319425123927,290.319425123927,24.6707451890726,6.64815184435232,0
1.5,0.012,0.016,2,251.182789191924,0.251182789191924,0.276679347673193,276.679347673193,28.9308454659701,5.6754866653357,1
1.5,0.012,0.016,4,1744.85549553185,1.74485549553185,0.276679347673193,276.679347673193,28.9308454659701,6.42558241546028,1
1.5,0.012,0.016,6,5475.07873773707,5.47507873773707,0.276679347673193,276.679347673193,28.9308454659701,6.7595167268059,1
1.5,0.012,0.016,8,12376.6547519496,12.3766547519496,0.276679347673193,276.679347673193,28.9308454659701,6.95340389169309,0
1.5,0.012,0.018,2,291.146140920698,0.291146140920698,0.283491079648534,283.491079648534,26.6315050681518,5.53054550356069,1
1.5,0.012,0.018,4,2027.57256641505,2.02757256641505,0.283491079648534,283.491079648534,26.6315050681518,6.25382824315544,1
1.5,0.012,0.018,6,6371.40199689655,6.37140199689655,0.283491079648534,283.491079648534,26.6315050681518,6.57525694963257,1
